freq,unit,penscheme,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MIO_EUR,S12P,D6111,AT	: 	: 	: 	1114 	: 	: 	1255 	: 	: 	1102 	: 	: 
A,MIO_EUR,S12P,D6111,BE	: 	: 	: 	4641 d	: 	: 	5498 d	: 	: 	5686 d	: 	: 
A,MIO_EUR,S12P,D6111,BG	: 	: 	: 	409 	432 	461 	508 	571 	598 	676 	: 	: 
A,MIO_EUR,S12P,D6111,CH	18095 	17797 	18877 	22332 	21983 	22138 	21751 	23450 	26324 	27507 	: 	: 
A,MIO_EUR,S12P,D6111,CY	: 	: 	: 	164 	: 	: 	112 	: 	: 	155 	: 	: 
A,MIO_EUR,S12P,D6111,CZ	: 	293 	: 	293 	309 	352 	406 	443 	469 	532 	575 	632 
A,MIO_EUR,S12P,D6111,DE	33500 	: 	: 	32960 	: 	: 	33016 	: 	: 	32087 	: 	: 
A,MIO_EUR,S12P,D6111,DK	: 	: 	: 	2104 	: @C	: 	2191 	: 	: 	2501 	: 	: 
A,MIO_EUR,S12P,D6111,EE	: 	: 	: 	270 	: 	: 	271 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6111,EL	: 	: 	: 	136 	: 	: 	128 	: 	: 	133 	: 	: 
A,MIO_EUR,S12P,D6111,ES	: 	: 	: 	2745 	: 	: 	2657 	: 	: 	3361 	: 	: 
A,MIO_EUR,S12P,D6111,FI	: 	: 	: 	290 	270 	255 	276 	344 	306 	287 	: 	: 
A,MIO_EUR,S12P,D6111,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6111,HR	: 	: 	: 	12 	: 	: 	13 	: 	: 	14 	: 	: 
A,MIO_EUR,S12P,D6111,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6111,IE	: 	: 	: 	3260 	: 	: 	3769 	: 	: 	4816 	: 	: 
A,MIO_EUR,S12P,D6111,IS	: 	: 	: 	394 	: 	: 	968 	: 	: 	985 	: 	: 
A,MIO_EUR,S12P,D6111,IT	: 	: 	: 	7226 	: 	: 	8628 	: 	: 	8701 	: 	: 
A,MIO_EUR,S12P,D6111,LT	: 	137 e	91 e	98 e	102 e	112 e	115 e	0 	0 	0 	0 	: 
A,MIO_EUR,S12P,D6111,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	: 	: 
A,MIO_EUR,S12P,D6111,LV	: 	: 	: 	234 	294 	339 	377 	419 	407 	430 	: 	: 
A,MIO_EUR,S12P,D6111,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6111,NL	18860 	20657 	20882 	16920 	16702 	15826 	15661 	: 	: 	19801 	: 	: 
A,MIO_EUR,S12P,D6111,NO	: 	: 	: 	5434 	4956 	5070 	5163 	5457 	4983 	6284 	: 	: 
